Data,Hora,Core1.Temp,Core2.Temp,Core3.Temp,Core4.Temp,Core5.Temp,Core6.Temp,Core7.Temp,Core8.Temp,Core9.Temp,Core.10Temp,Core11.Temp,Core1.Freq,Core2.Freq,Core3.Freq,Core.4Freq,Core5.Freq,Core6.Freq,Core7.Freq,Core8.Freq,Core9.Freq,Core10.Freq,Core11.Freq
2024-11-01,10:05:53,52,50,49,49,49,51,51,51,52,50,50,954213,761198,545177,632799,789819,987.48,976191,808116,734892,908982,883968
2024-11-01,10:05:55,52,49,49,49,49,50,50,51,51,51,52,836439,618301,718633,664502,1042234,1097546,799674,739793,818024,862529,966609
2024-11-01,10:05:57,52,49,49,49,49,51,51,51,51,50,51,622762,608.85,767321,651752,599099,556.52,563193,557194,896.97,534421,563488
2024-11-01,10:05:59,53,49,49,49,49,51,51,51,51,50,52,704516,641061,654199,530235,720072,824688,512413,521.06,697848,1115084,919669
2024-11-01,10:06:02,52,49,49,49,49,50,52,52,52,50,51,535845,682666,717709,657262,1095591,724007,653985,585.54,566185,717679,1181054
2024-11-01,10:06:04,52,49,50,50,49,52,52,51,51,51,52,1136603,1563297,1677445,2082736,2432725,2866.77,3070925,2489753,1555.58,859362,916606
2024-11-01,10:06:06,53,49,49,49,49,51,51,51,51,51,50,500474,581324,533781,530622,842995,1061945,1166211,985.19,997037,1092616,1502.7
2024-11-01,10:06:08,52,49,49,49,49,51,51,51,51,50,51,1058276,701378,881.14,701.69,513343,557678,584451,519475,607682,746384,624.73
2024-11-01,10:06:11,53,52,52,52,52,53,53,53,53,52,53,1243209,1169.46,1757.35,1342964,1424027,914454,1014936,983.36,979652,951364,1067798
2024-11-01,10:06:13,54,52,52,52,52,52,52,52,52,51,54,1268047,718303,1939095,737034,769882,775545,747951,560385,598217,585889,561.37
2024-11-01,10:06:15,53,50,50,50,50,52,51,51,51,51,52,1040677,1687.6,2428637,1918111,752017,599989,599766,554879,771507,712204,632.98
2024-11-01,10:06:18,53,50,50,50,50,50,50,50,51,51,52,484123,615546,534967,738234,487.28,586739,758574,830348,550495,896315,1156399
2024-11-01,10:06:20,52,49,49,49,49,51,51,51,51,50,51,738034,589.05,522906,704234,1246001,658018,725402,557451,622712,633293,861797
2024-11-01,10:06:22,53,50,50,50,50,52,51,51,51,51,49,553115,590474,466482,440182,668099,621654,831039,634876,809516,610002,593009
2024-11-01,10:06:24,53,49,49,49,49,51,51,51,51,49,50,590517,467437,500236,613724,679764,830973,631735,729868,874741,928.17,890724
2024-11-01,10:06:27,52,49,50,50,50,51,51,51,51,51,52,730451,628177,983888,748358,940557,1027361,901722,877543,818425,777968,801067
2024-11-01,10:06:29,52,49,49,49,49,52,51,51,51,51,51,569448,475353,648091,911751,738461,622751,527547,496814,602258,725848,477168
2024-11-01,10:06:31,52,49,50,50,50,51,51,51,51,53,50,961726,714993,815801,637266,911876,898737,801713,872333,850741,766775,727982
2024-11-01,10:06:33,53,49,48,48,49,51,51,50,50,50,50,985443,984863,485473,523902,697314,786791,1819981,590077,543412,592091,501802
2024-11-01,10:06:36,52,49,49,49,49,51,51,51,51,50,50,711584,750854,691815,404539,692313,665908,905413,581822,584224,999485,751175
2024-11-01,10:06:38,52,49,49,49,49,51,50,50,50,49,50,653791,919456,1190688,1338706,956776,631165,599912,662.01,539137,1073957,1093773
2024-11-01,10:06:40,60,49,49,49,49,52,52,52,52,50,60,2719468,859936,506.34,453984,710119,708374,1007641,836.35,1164623,1712551,873024
